                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0824,                 2.8157,                 1.3912,                0.57354,                0.49376,                0.52926,                0.31774,                 1.3346,                  1.871,                 1.5344,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.0614,                  2.048,                 1.3516,                0.65541,                0.61901,                0.67797,                0.42147,                 1.3187,                 1.5535,                 1.5075,              0.0065968,              0.0065968,              0.0065968
                      3,                 1.1382,                 1.9658,                 1.4048,                0.68137,                0.57159,                0.64703,                0.39583,                 1.3505,                 1.6182,                  1.583,              0.0097982,              0.0097982,              0.0097982
                      4,                 1.1853,                 1.8981,                 1.4354,                0.76428,                0.63414,                0.74175,                0.41081,                 1.5291,                 1.3754,                 1.6177,               0.009703,               0.009703,               0.009703
                      5,                 1.1375,                 1.6633,                 1.3963,                0.77986,                0.71561,                0.79995,                0.49236,                 1.3607,                 1.1993,                 1.5108,               0.009604,               0.009604,               0.009604
                      6,                 1.0762,                 1.5229,                 1.3521,                0.77244,                0.68623,                0.77263,                0.52397,                 1.1425,                 1.1628,                 1.3793,               0.009505,               0.009505,               0.009505
                      7,                 1.0461,                 1.4312,                 1.3298,                0.83523,                0.72668,                0.83246,                0.53864,                 1.2668,                 1.0326,                 1.4516,               0.009406,               0.009406,               0.009406
                      8,                 1.0103,                 1.3475,                 1.3086,                0.82484,                0.77536,                0.86067,                0.57805,                 1.2103,                0.93032,                 1.3739,               0.009307,               0.009307,               0.009307
                      9,                0.98863,                 1.2847,                 1.2906,                0.84966,                0.75247,                0.86012,                0.59864,                 1.1118,                0.88492,                 1.3254,               0.009208,               0.009208,               0.009208
                     10,                0.97555,                  1.232,                 1.2827,                0.86729,                0.76019,                  0.863,                0.61258,                 1.0522,                0.84247,                 1.2923,               0.009109,               0.009109,               0.009109
                     11,                0.95139,                 1.1977,                 1.2698,                0.86965,                0.77846,                0.88792,                0.61832,                 1.1215,                0.81018,                 1.3044,                0.00901,                0.00901,                0.00901
                     12,                0.93893,                 1.1642,                 1.2556,                0.87598,                0.81236,                0.88592,                0.65921,                0.95849,                 0.7765,                 1.2351,               0.008911,               0.008911,               0.008911
                     13,                 0.9202,                 1.1144,                 1.2416,                0.86226,                0.78413,                0.87813,                0.64534,                0.97092,                0.79724,                 1.2308,               0.008812,               0.008812,               0.008812
                     14,                0.90875,                 1.0919,                 1.2362,                0.89902,                0.81421,                0.90342,                0.65988,                0.99356,                0.72344,                 1.2405,               0.008713,               0.008713,               0.008713
                     15,                0.89697,                 1.0727,                 1.2259,                0.86937,                0.82821,                0.90207,                0.67321,                0.93862,                0.71049,                 1.1887,               0.008614,               0.008614,               0.008614
                     16,                0.88048,                 1.0346,                 1.2142,                0.90171,                0.83154,                0.91794,                0.68242,                0.96241,                0.67799,                 1.2074,               0.008515,               0.008515,               0.008515
                     17,                0.86819,                   1.02,                 1.2077,                0.89945,                0.83228,                0.91724,                 0.6804,                0.97041,                0.66554,                 1.2271,               0.008416,               0.008416,               0.008416
                     18,                0.86692,                 1.0103,                 1.2113,                0.89169,                0.83888,                 0.9213,                0.68439,                0.94801,                0.65249,                 1.1943,               0.008317,               0.008317,               0.008317
                     19,                 0.8609,                0.98676,                 1.2053,                0.90735,                0.84947,                 0.9214,                0.71098,                0.87239,                0.63868,                 1.1491,               0.008218,               0.008218,               0.008218
                     20,                0.84834,                0.96931,                 1.1956,                0.90539,                0.84079,                0.92215,                0.69366,                0.94289,                0.64569,                  1.196,               0.008119,               0.008119,               0.008119
                     21,                0.84331,                0.95454,                 1.1922,                0.91601,                0.83523,                0.92251,                0.70451,                0.90556,                0.62996,                 1.1595,                0.00802,                0.00802,                0.00802
                     22,                0.84188,                0.94981,                 1.1904,                0.92363,                 0.8518,                0.92991,                0.71186,                0.89101,                0.60699,                 1.1554,               0.007921,               0.007921,               0.007921
                     23,                0.83122,                0.92803,                 1.1838,                0.90399,                0.85411,                0.92662,                0.71669,                0.86199,                0.59829,                 1.1363,               0.007822,               0.007822,               0.007822
                     24,                0.82204,                0.91097,                 1.1767,                0.89784,                0.86114,                0.92602,                0.71688,                0.87899,                0.61309,                   1.15,               0.007723,               0.007723,               0.007723
                     25,                0.81217,                0.90359,                 1.1758,                0.91439,                0.86998,                0.92675,                0.74061,                0.78528,                0.57944,                 1.0943,               0.007624,               0.007624,               0.007624
                     26,                0.81365,                0.89004,                 1.1716,                0.92192,                0.85438,                0.93416,                0.70173,                0.94721,                0.58841,                 1.1845,               0.007525,               0.007525,               0.007525
                     27,                0.80667,                0.88383,                 1.1696,                  0.927,                0.86452,                 0.9373,                0.71572,                0.90264,                0.57369,                 1.1527,               0.007426,               0.007426,               0.007426
                     28,                0.79985,                0.86364,                  1.165,                0.92315,                0.87786,                0.93655,                0.72833,                0.85004,                0.56387,                 1.1196,               0.007327,               0.007327,               0.007327
                     29,                0.79382,                 0.8612,                  1.162,                0.93235,                0.85964,                0.94108,                0.74525,                0.80806,                0.53927,                 1.1038,               0.007228,               0.007228,               0.007228
                     30,                0.78801,                0.84126,                 1.1549,                 0.9299,                0.85748,                0.94146,                0.73135,                0.85222,                0.55679,                 1.1239,               0.007129,               0.007129,               0.007129
                     31,                0.78862,                0.84767,                 1.1566,                0.93161,                0.87098,                0.94211,                0.75081,                0.80033,                0.53999,                 1.0958,                0.00703,                0.00703,                0.00703
                     32,                0.77831,                0.83227,                 1.1511,                0.94004,                0.85391,                0.94015,                0.74337,                0.81884,                0.54801,                 1.1013,               0.006931,               0.006931,               0.006931
                     33,                0.77388,                0.82403,                 1.1468,                0.93368,                0.86534,                0.94205,                 0.7418,                0.82588,                0.54614,                 1.1038,               0.006832,               0.006832,               0.006832
                     34,                0.77181,                0.81796,                 1.1477,                0.93569,                0.86861,                0.94171,                 0.7456,                0.81155,                0.53795,                 1.0963,               0.006733,               0.006733,               0.006733
                     35,                0.76581,                0.80635,                 1.1429,                0.93317,                0.87143,                0.94106,                0.74101,                0.82613,                0.53134,                 1.1142,               0.006634,               0.006634,               0.006634
                     36,                0.75633,                0.79171,                 1.1355,                0.92767,                 0.8771,                0.94467,                0.74781,                 0.8248,                  0.531,                  1.102,               0.006535,               0.006535,               0.006535
                     37,                0.76274,                0.80254,                 1.1426,                0.92992,                0.88664,                0.94818,                0.75742,                0.78792,                0.51317,                 1.0833,               0.006436,               0.006436,               0.006436
                     38,                0.75774,                0.79005,                 1.1396,                0.94147,                0.87393,                0.94792,                0.76739,                0.76548,                0.50557,                 1.0735,               0.006337,               0.006337,               0.006337
                     39,                0.75149,                0.77607,                  1.132,                 0.9275,                0.87924,                0.94742,                0.76482,                0.76771,                0.51064,                  1.076,               0.006238,               0.006238,               0.006238
                     40,                0.74637,                 0.7703,                 1.1324,                0.93408,                0.87402,                0.94831,                0.76001,                0.78361,                0.51343,                  1.077,               0.006139,               0.006139,               0.006139
                     41,                0.74857,                0.76516,                 1.1337,                0.94895,                 0.8699,                0.94926,                0.76445,                0.76795,                0.50781,                 1.0736,                0.00604,                0.00604,                0.00604
                     42,                  0.737,                0.75974,                 1.1253,                0.94584,                0.87108,                0.95112,                0.75853,                0.79021,                0.50985,                 1.0787,               0.005941,               0.005941,               0.005941
                     43,                0.73662,                 0.7517,                  1.126,                0.93737,                0.87484,                0.94964,                0.75943,                0.78853,                0.50939,                 1.0791,               0.005842,               0.005842,               0.005842
                     44,                0.73184,                0.74017,                 1.1225,                0.94025,                0.87653,                0.94977,                0.76593,                0.76678,                0.50335,                 1.0734,               0.005743,               0.005743,               0.005743
                     45,                 0.7309,                0.74213,                 1.1228,                0.93424,                0.88732,                0.95127,                0.76802,                 0.7627,                0.50415,                 1.0667,               0.005644,               0.005644,               0.005644
                     46,                0.72557,                0.72782,                 1.1174,                0.93256,                0.87297,                0.94901,                0.76845,                0.74398,                0.50702,                 1.0627,               0.005545,               0.005545,               0.005545
                     47,                0.72384,                0.72632,                 1.1185,                0.94152,                0.87346,                 0.9519,                0.77044,                0.75032,                0.49891,                 1.0606,               0.005446,               0.005446,               0.005446
                     48,                0.71493,                 0.7113,                 1.1094,                0.94528,                0.87246,                0.94989,                0.76827,                0.75138,                0.49004,                 1.0644,               0.005347,               0.005347,               0.005347
                     49,                0.72323,                0.71965,                 1.1171,                0.93712,                0.88578,                 0.9498,                0.77013,                0.74532,                 0.4926,                 1.0616,               0.005248,               0.005248,               0.005248
                     50,                0.71588,                  0.713,                 1.1113,                 0.9418,                0.88351,                0.95099,                0.77002,                0.75341,                0.49222,                 1.0659,               0.005149,               0.005149,               0.005149
                     51,                0.70824,                0.70012,                 1.1085,                0.94758,                0.87472,                0.94946,                0.77056,                0.74686,                0.49366,                 1.0626,                0.00505,                0.00505,                0.00505
                     52,                0.70752,                0.69795,                  1.106,                0.94725,                0.87249,                0.95103,                0.77325,                0.74138,                0.48684,                 1.0587,               0.004951,               0.004951,               0.004951
                     53,                0.70126,                0.68931,                 1.1023,                0.94702,                0.87435,                0.95229,                0.77776,                0.73415,                0.48043,                 1.0554,               0.004852,               0.004852,               0.004852
                     54,                0.69563,                 0.6876,                 1.1031,                0.94237,                0.87827,                0.95273,                0.77744,                0.73274,                 0.4803,                 1.0537,               0.004753,               0.004753,               0.004753
                     55,                0.69867,                0.68282,                  1.103,                 0.9444,                0.87559,                0.95268,                0.77738,                0.73122,                0.48111,                 1.0534,               0.004654,               0.004654,               0.004654
                     56,                0.69348,                0.67413,                 1.0986,                0.95017,                0.87324,                 0.9524,                0.77858,                0.72736,                 0.4848,                 1.0509,               0.004555,               0.004555,               0.004555
                     57,                0.68709,                0.66895,                 1.0948,                0.94085,                0.88004,                0.95172,                0.77846,                0.72623,                0.48756,                 1.0507,               0.004456,               0.004456,               0.004456
                     58,                0.68401,                0.66238,                 1.0924,                0.94287,                0.88523,                0.95057,                0.78071,                0.72213,                0.48461,                 1.0483,               0.004357,               0.004357,               0.004357
                     59,                0.68527,                0.65713,                 1.0953,                0.94187,                0.89012,                0.95176,                0.78369,                0.71322,                0.47737,                 1.0428,               0.004258,               0.004258,               0.004258
                     60,                0.67922,                0.65421,                 1.0928,                0.94156,                0.88501,                0.95231,                0.78703,                0.70403,                 0.4737,                 1.0373,               0.004159,               0.004159,               0.004159
                     61,                0.67901,                0.65373,                 1.0919,                0.94172,                0.88855,                0.95235,                0.78678,                0.70205,                0.47342,                 1.0357,                0.00406,                0.00406,                0.00406
                     62,                0.67373,                0.65146,                   1.09,                0.93826,                0.89057,                0.95248,                0.78821,                0.69731,                0.47068,                 1.0326,               0.003961,               0.003961,               0.003961
                     63,                0.66538,                0.63327,                 1.0849,                0.92901,                  0.895,                0.95214,                0.78947,                0.69404,                0.46946,                 1.0308,               0.003862,               0.003862,               0.003862
                     64,                0.67114,                0.63849,                 1.0873,                0.93494,                0.89105,                0.95254,                0.79009,                0.69329,                0.46748,                 1.0301,               0.003763,               0.003763,               0.003763
                     65,                0.66256,                0.62522,                 1.0816,                0.93747,                0.89205,                0.95223,                0.78921,                0.69261,                0.46533,                 1.0305,               0.003664,               0.003664,               0.003664
                     66,                0.66053,                0.61938,                 1.0815,                0.93871,                0.89272,                0.95275,                0.79098,                0.69106,                0.46361,                 1.0303,               0.003565,               0.003565,               0.003565
                     67,                0.65594,                0.61918,                 1.0779,                0.93874,                 0.8904,                0.95338,                0.79012,                0.69291,                0.46225,                 1.0311,               0.003466,               0.003466,               0.003466
                     68,                0.65089,                0.61887,                 1.0762,                0.93899,                0.89086,                0.95321,                0.79085,                0.69341,                0.46211,                 1.0322,               0.003367,               0.003367,               0.003367
                     69,                0.65205,                 0.6068,                 1.0735,                0.93988,                0.89028,                0.95314,                0.79192,                0.69335,                0.46263,                 1.0322,               0.003268,               0.003268,               0.003268
                     70,                 0.6525,                 0.6119,                 1.0778,                0.94204,                0.88979,                0.95374,                0.79087,                0.69203,                0.46211,                  1.031,               0.003169,               0.003169,               0.003169
                     71,                0.64071,                0.59855,                 1.0697,                0.94302,                0.89037,                0.95304,                0.79249,                0.69067,                0.46206,                 1.0297,                0.00307,                0.00307,                0.00307
                     72,                0.64584,                0.59915,                 1.0725,                0.94316,                0.89044,                0.95273,                0.79261,                0.68974,                 0.4619,                 1.0294,               0.002971,               0.002971,               0.002971
                     73,                0.64431,                0.59689,                 1.0724,                0.94227,                0.88813,                0.95287,                0.79229,                0.68803,                0.46127,                 1.0278,               0.002872,               0.002872,               0.002872
                     74,                0.64278,                0.59035,                 1.0707,                0.94567,                0.88573,                0.95225,                 0.7916,                0.68674,                 0.4609,                 1.0272,               0.002773,               0.002773,               0.002773
                     75,                0.63352,                0.58696,                  1.068,                 0.9427,                0.88679,                0.95229,                0.79247,                0.68516,                0.46136,                 1.0262,               0.002674,               0.002674,               0.002674
                     76,                0.62771,                0.58217,                 1.0645,                0.94852,                0.88207,                0.95205,                0.79274,                0.68447,                0.46166,                 1.0259,               0.002575,               0.002575,               0.002575
                     77,                0.62598,                0.57536,                 1.0623,                0.94278,                0.88697,                0.95178,                0.79315,                0.68322,                0.46194,                 1.0254,               0.002476,               0.002476,               0.002476
                     78,                0.62292,                0.57153,                 1.0602,                 0.9423,                0.88763,                 0.9516,                 0.7937,                0.68232,                0.46269,                 1.0248,               0.002377,               0.002377,               0.002377
                     79,                0.61641,                0.56068,                 1.0584,                0.94116,                0.89001,                0.95145,                0.79336,                0.68122,                0.46183,                 1.0243,               0.002278,               0.002278,               0.002278
                     80,                0.62094,                 0.5634,                 1.0587,                0.93795,                0.89301,                0.95145,                0.79432,                0.67951,                0.46085,                 1.0236,               0.002179,               0.002179,               0.002179
                     81,                0.61589,                0.55983,                 1.0562,                0.94014,                0.89087,                0.95149,                  0.795,                0.67777,                0.46054,                 1.0228,                0.00208,                0.00208,                0.00208
                     82,                0.61372,                0.55649,                 1.0569,                0.94013,                0.89015,                 0.9515,                 0.7955,                0.67615,                0.46003,                 1.0219,               0.001981,               0.001981,               0.001981
                     83,                0.60708,                 0.5501,                 1.0529,                 0.9411,                0.89182,                0.95155,                0.79629,                0.67512,                0.45961,                 1.0215,               0.001882,               0.001882,               0.001882
                     84,                0.60341,                0.54499,                 1.0504,                0.94032,                0.89289,                0.95144,                0.79673,                0.67424,                0.45903,                  1.021,               0.001783,               0.001783,               0.001783
                     85,                0.60081,                0.53606,                 1.0498,                0.94227,                0.88973,                 0.9513,                0.79693,                0.67309,                0.45915,                 1.0206,               0.001684,               0.001684,               0.001684
                     86,                0.60152,                0.53935,                 1.0515,                0.94331,                0.88926,                0.95124,                0.79708,                0.67186,                0.45957,                 1.0201,               0.001585,               0.001585,               0.001585
                     87,                0.60199,                 0.5373,                  1.048,                0.94515,                0.88804,                0.95134,                0.79738,                0.67095,                0.45928,                   1.02,               0.001486,               0.001486,               0.001486
                     88,                0.59249,                0.53259,                 1.0442,                0.94566,                0.88801,                0.95116,                0.79694,                0.66998,                0.45884,                 1.0198,               0.001387,               0.001387,               0.001387
                     89,                0.59169,                0.52901,                 1.0463,                0.94528,                0.88812,                0.95117,                0.79685,                0.66916,                0.45864,                 1.0195,               0.001288,               0.001288,               0.001288
                     90,                0.58889,                0.52182,                  1.046,                0.94474,                0.88881,                0.95107,                0.79708,                0.66857,                0.45842,                 1.0194,               0.001189,               0.001189,               0.001189
                     91,                0.48965,                0.32455,                 1.0026,                0.94376,                0.88881,                0.95118,                0.79705,                0.66807,                0.45842,                 1.0193,                0.00109,                0.00109,                0.00109
                     92,                0.47793,                0.31038,                0.99176,                0.94179,                0.89013,                0.95098,                0.79699,                0.66751,                0.45808,                  1.019,               0.000991,               0.000991,               0.000991
                     93,                0.47041,                0.30158,                0.98894,                0.94189,                0.89113,                0.95097,                0.79704,                0.66737,                 0.4574,                 1.0191,               0.000892,               0.000892,               0.000892
                     94,                0.46406,                0.29277,                0.98278,                0.94225,                0.89178,                0.95095,                0.79765,                 0.6664,                 0.4568,                 1.0187,               0.000793,               0.000793,               0.000793
                     95,                0.46177,                0.29072,                0.98451,                0.94094,                0.89185,                0.95085,                0.79798,                0.66546,                0.45629,                 1.0182,               0.000694,               0.000694,               0.000694
                     96,                0.45346,                0.28364,                0.97836,                0.94103,                0.89339,                0.95082,                0.79854,                0.66463,                0.45578,                 1.0178,               0.000595,               0.000595,               0.000595
                     97,                0.44832,                0.28028,                0.97374,                0.94016,                0.89492,                0.95082,                 0.7988,                0.66339,                 0.4553,                 1.0173,               0.000496,               0.000496,               0.000496
                     98,                0.44278,                0.27419,                0.97133,                0.94021,                 0.8947,                0.95078,                0.79969,                0.66269,                0.45458,                  1.017,               0.000397,               0.000397,               0.000397
                     99,                0.43812,                0.27569,                0.96846,                0.94155,                0.89486,                0.95078,                0.79927,                0.66122,                0.45415,                 1.0161,               0.000298,               0.000298,               0.000298
                    100,                0.43539,                0.27083,                 0.9697,                0.94202,                0.89508,                0.95063,                0.79954,                0.66007,                 0.4543,                 1.0156,               0.000199,               0.000199,               0.000199
